[2020-10-13 20:56:40.271][info ][command:null][tid:01][org.pf4j.DefaultPluginStatusProvider] Enabled plugins: []
[2020-10-13 20:56:40.342][info ][command:null][tid:01][org.pf4j.DefaultPluginStatusProvider] Disabled plugins: []
[2020-10-13 20:56:40.347][info ][command:null][tid:01][org.pf4j.DefaultPluginManager] PF4J version 2.0.0-SNAPSHOT in 'deployment' mode
[2020-10-13 20:56:40.367][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.go@0.0.1' resolved
[2020-10-13 20:56:40.367][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.python@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.lua@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.rust@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.dotnet@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.haskell@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.ocaml@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.d@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.halide@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.js@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.apple.project@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.gwt@0.0.1' resolved
[2020-10-13 20:56:40.368][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.filebundler@0.0.1' resolved
[2020-10-13 20:56:40.369][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.filegroup@0.0.1' resolved
[2020-10-13 20:56:40.369][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.zip.rules@0.0.1' resolved
[2020-10-13 20:56:40.369][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Plugin 'com.facebook.buck.features.project.intellij@0.0.1' resolved
[2020-10-13 20:56:40.369][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.go@0.0.1'
[2020-10-13 20:56:40.370][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.python@0.0.1'
[2020-10-13 20:56:40.370][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.lua@0.0.1'
[2020-10-13 20:56:40.371][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.rust@0.0.1'
[2020-10-13 20:56:40.371][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.dotnet@0.0.1'
[2020-10-13 20:56:40.371][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.haskell@0.0.1'
[2020-10-13 20:56:40.372][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.ocaml@0.0.1'
[2020-10-13 20:56:40.372][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.d@0.0.1'
[2020-10-13 20:56:40.372][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.halide@0.0.1'
[2020-10-13 20:56:40.373][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.js@0.0.1'
[2020-10-13 20:56:40.373][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.apple.project@0.0.1'
[2020-10-13 20:56:40.374][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.gwt@0.0.1'
[2020-10-13 20:56:40.374][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.filebundler@0.0.1'
[2020-10-13 20:56:40.375][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.filegroup@0.0.1'
[2020-10-13 20:56:40.375][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.zip.rules@0.0.1'
[2020-10-13 20:56:40.375][info ][command:null][tid:01][org.pf4j.AbstractPluginManager] Start plugin 'com.facebook.buck.features.project.intellij@0.0.1'
[2020-10-13 20:56:40.458][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Loading configuration for /home/ailabdev/Projects001/buckaroo_mfast
[2020-10-13 20:56:40.464][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Loaded project configuration file /home/ailabdev/Projects001/buckaroo_mfast/.buckconfig
[2020-10-13 20:56:40.468][debug][command:null][tid:01][com.facebook.buck.util.config.Configs] Adding configuration overrides RawConfig{values={}}
[2020-10-13 20:56:40.516][debug][command:null][tid:01][com.facebook.buck.cli.MainRunner] Rotating log.
